,Patrocinador do Estudo,Número do Processo,Nome ou Código do Medicamento Experimental,Classe Terapêutica,Tipo de Medicamento Experimental,Doença,CID10,Nome do Protocolo Clínico,Título do Estudo,Fase do Estudo,Tipo de Estudo,Situação do Estudo,Instituição de Pesquisa,Investigador,Número de Pacientes,Unnamed: 0,NCT Number,Intervention Type,Intervention,Start Date,Completion Date,First Posted
865,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, J A SERVICOS MEDICOS LTDA,RODOLFO NUNES CAMPOS,1,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
866,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, NUCLEO DE PESQUISA CLINICA DO RIO GRANDE DO SUL LTDA,ALEXEI GI,1,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
867,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,EDUARDO HENRIQUE TEIXEIRA,1,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
868,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, SOCIEDADE LITERARIA E CARITATIVA SANTO AGOSTINHO,KELEN CANCELLIER CECHINEL RECCO,3,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
869,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, UNIVERSIDADE FEDERAL DE MINAS GERAIS UFMG,HELIAN NUNES DE OLIVEIRA,1,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
870,JANSSEN-CILAG FARMACÊUTICA LTDA,25351172815202416,SELTOREXANTO (JNJ-42847922),ANTIDEPRESSIVOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNO DEPRESSIVO RECORRENTE,F33,42847922MDD3003,"ESTUDO MULTICÊNTRICO DE DUAS PARTES, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A EFICÁCIA E A SEGURANÇA E A MANUTENÇÃO DO EFEITO DE SELTOREXANTO 20 MG COMO TRATAMENTO ADJUVANTE AOS ANTIDEPRESSIVOS EM PARTICIPANTES DA PESQUISA ADULTOS E IDOSOS COM TRANSTORNO DEPRESSIVO MAIOR COM SINTOMAS DE INSÔNIA. VERSÃO INICIAL – 22 DE FEVEREIRO DE 2024.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,EMERSON ARCOVERDE NUNES,3,123823,NCT06559306,DRUG, Seltorexant,2024-07-25 00:00:00,2027-11-30 00:00:00,2024-08-19
871,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO,ASSOCIACAO DE COMBATE AO CANCER EM GOIAS,RUFFO DE FREITAS JUNIOR,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
872,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, CENTRO DE PESQUISAS ONCOLOGICAS,SANDRO LAÉRCIO REICHOW,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
873,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, CLINICA DE ONCOLOGIA REICHOW SS LTDA,SANDRO LAÉRCIO REICHOW,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
874,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO DR AMARAL CARVALHO,PATRICIA MEDEIROS MILHOMEN BEATO,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
875,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HOSPITAL 9 DE JULHO SA,MARIANA SCARANTI,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
876,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HOSPITAL NOSSA SENHORA DA CONCEICAO SA,JOSE LUIZ PEDRINI,0,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
877,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HSL UNIDADE BRASILIA,DANIELE ASSAD,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
878,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, MS INCA HC III HOSPITAL DO CANCER III,JOSE BINES,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
879,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA,DEBORA DE MELO GAGLIATO JARDIM,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
880,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,LAURA TESTA,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
881,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SOCIEDADE EVANGELICA BENEFICENTE DE CURITIBA,ANA CLAUDIA KUTAX BUIAR,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
882,ASTRAZENECA DO BRASIL LTDA,25351174923202261,DATOPOTAMABE DERUXTECANA (DS-1062A) ,OUTROS ANTINEOPLASICOS,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D926PC00001,"ESTUDO DE FASE 3, ABERTO, RANDOMIZADO, DE 
DATOPOTAMABE DERUXTECANA (DATO-DXD) 
VERSUS QUIMIOTERAPIA DE ESCOLHA DO
INVESTIGADOR EM PARTICIPANTES DE PESQUISA 
QUE NÃO SÃO CANDIDATOS À USO DE TRATAMENTO 
DE PRIMEIRA LINHA COM INIBIDOR DE PD-1/PDL1 PARA CÂNCER DE MAMA TRIPLO-NEGATIVO
METASTÁTICO OU LOCALMENTE RECORRENTE E 
INOPERÁVEL (TROPIONBREAST02)",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,CARLOS HENRIQUE ESCOSTEGUY BARRIOS,2,217646,NCT05374512,DRUG, Dato-DXd,2022-05-16 00:00:00,2025-12-03 00:00:00,2022-05-16
883,FORTREA BRASIL LIMITADA,25351176422202309,ABELACIMABE (MAA868),Não há dados,BIOLÓGICO,"""FLUTTER"" E FIBRILAÇÃO ATRIAL",I48,ANT-010,"ESTUDO DE FASE 3, MULTICÊNTRICO, RANDOMIZADO, DUPLO-CEGO, CONTROLADO POR PLACEBO, DE GRUPOS PARALELOS PARA AVALIAR A EFICÁCIA E A SEGURANÇA DE
ABELACIMABE EM PACIENTES COM FIBRILAÇÃO ATRIAL DE ALTO RISCO QUE FORAM CONSIDERADOS INADEQUADOS PARA ANTICOAGULAÇÃO ORAL (LILAC). V ERSÃO 1.0 -18-OUT-2022.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO,Não há dados,Não há dados,Não há dados,133980,NCT05712200,DRUG, Placebo,2022-12-27 00:00:00,2025-03-01 00:00:00,2023-02-03
884,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO,CLINICA DE NEOPLASIAS LITORAL LTDA,GIULIANO SANTOS BORGES,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
885,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO DR AMARAL CARVALHO,PATRICIA MEDEIROS MILHOMEN BEATO,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
886,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO PIO XII,CARLOS EDUARDO PAIVA,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
887,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HOSPITAL ALEMAO OSWALDO CRUZ,ROMUALDO BARROSO DE SOUSA,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
888,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HOSPITAL DE CLINICAS DE PORTO ALEGRE,PEDRO EMANUEL RUBINI LIEDKE,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
889,ASTRAZENECA DO BRASIL LTDA,25351176423202345,DS1062A,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,BIOLÓGICO,NEOPLASIA MALIGNA DA MAMA,C50,D7630C00001,"ESTUDO DE FASE III, ABERTO, RANDOMIZADO DE DATOPOTAMABE DERUXTECANA (DATO-DXD) COM OU SEM DURVALUMABE COMPARADO COM A QUIMIOTERAPIA DE ESCOLHA DO INVESTIGADOR (PACLITAXEL, NAB-PACLITAXEL OU GENCITABINA + CARBOPLATINA) EM COMBINAÇÃO COM PEMBROLIZUMABE EM PACIENTES COM CÂNCER DE MAMA TRIPLO-NEGATIVO METASTÁTICO OU LOCALMENTE RECORRENTE INOPERÁVEL PARA PD&#8209;L1 POSITIVO (TROPION BREAST05). VERSÃO 2.0 DE 11 DE SETEMBRO DE 2023",III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,LAURA TESTA,2,193597,NCT06103864,DRUG, Dato-DXd,2023-11-23 00:00:00,2029-04-23 00:00:00,2023-10-27
